fundingRateTimestamp,,symbol,fundingRate
2024-01-11 00:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-11 00:00:00,BNBUSDT,BNBUSDT,0.0001
2024-01-11 00:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-11 00:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-11 00:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-11 00:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-11 00:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-11 00:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-11 08:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-11 08:00:00,BNBUSDT,BNBUSDT,0.0001
2024-01-11 08:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-11 08:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-11 08:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-11 08:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-11 08:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-11 08:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-11 16:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-11 16:00:00,BNBUSDT,BNBUSDT,0.0001
2024-01-11 16:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-11 16:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-11 16:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-11 16:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-11 16:00:00,SOLUSDT,SOLUSDT,0.00011001
2024-01-11 16:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-12 00:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-12 00:00:00,BNBUSDT,BNBUSDT,0.0001
2024-01-12 00:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-12 00:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-12 00:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-12 00:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-12 00:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-12 00:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-12 08:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-12 08:00:00,BNBUSDT,BNBUSDT,0.00023686
2024-01-12 08:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-12 08:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-12 08:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-12 08:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-12 08:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-12 08:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-12 16:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-12 16:00:00,BNBUSDT,BNBUSDT,0.0001
2024-01-12 16:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-12 16:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-12 16:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-12 16:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-12 16:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-12 16:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-13 00:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-13 00:00:00,BNBUSDT,BNBUSDT,0.0001
2024-01-13 00:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-13 00:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-13 00:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-13 00:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-13 00:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-13 00:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-13 08:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-13 08:00:00,BNBUSDT,BNBUSDT,0.0001
2024-01-13 08:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-13 08:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-13 08:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-13 08:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-13 08:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-13 08:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-13 16:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-13 16:00:00,BNBUSDT,BNBUSDT,0.0001
2024-01-13 16:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-13 16:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-13 16:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-13 16:00:00,MASKUSDT,MASKUSDT,0.0001
